,PROMEDIO,ID_CARRERA,ID_ESCUELA
550,9.2,68,494
551,8.6,68,1189
552,9.1,78,1190
553,8.0,18,469
554,9.0,1,759
555,8.3,17,719
556,8.2,7,719
557,9.0,68,753
558,9.4,33,1143
559,9.6,76,913
560,9.0,41,913
561,8.0,67,208
562,8.0,68,208
563,7.8,27,755
564,9.5,24,1191
565,8.0,68,655
566,8.3,24,424
567,8.8,75,1192
568,8.5,68,655
569,8.6,17,719
570,8.4,75,719
571,8.5,67,755
572,8.9,84,719
573,8.5,68,655
574,9.0,33,915
575,7.86,24,909
576,9.0,29,496
577,8.9,41,504
578,8.8,68,719
579,8.5,68,655
580,7.5,62,766
581,9.0,33,512
582,8.3,24,436
583,8.1,41,913
584,9.8,68,1163
585,8.3,17,1193
586,8.5,78,567
587,9.7,18,719
588,8.5,57,1194
589,9.0,24,683
590,9.0,18,683
591,9.0,1,683
592,9.4,56,719
593,9.0,33,683
594,8.5,50,1160
595,7.2,57,298
596,9.0,68,418
597,8.18,24,909
598,7.5,85,719
599,8.6,68,909
600,9.5,68,426
601,8.5,13,426
602,8.0,50,15
603,8.5,68,840
604,8.24,51,910
605,10.0,30,399
606,7.3,24,719
607,8.11,15,915
608,9.6,68,3
609,8.5,7,753
610,9.6,17,753
611,8.5,7,753
612,8.0,24,414
613,8.3,68,144
614,8.0,67,1007
615,8.5,1,755
616,8.0,33,388
617,8.0,13,753
618,9.6,14,418
619,9.91,68,913
620,8.7,68,913
621,8.6,68,565
622,7.8,72,767
623,8.0,24,478
624,8.5,1,767
625,8.3,1,767
626,9.0,24,946
627,8.5,68,256
628,8.5,24,1095
629,8.4,68,181
630,8.8,56,773
631,9.0,18,911
632,9.8,68,412
633,9.0,68,1195
634,9.0,52,861
635,8.0,67,1196
636,9.5,58,716
637,9.3,68,1171
638,8.0,75,755
639,7.8,75,755
640,8.5,33,755
641,8.5,33,1197
642,8.5,68,698
643,7.5,1,1149
644,8.7,77,1198
645,9.2,68,773
646,8.5,75,393
647,9.0,68,1199
648,8.9,33,1143
649,9.9,36,1033
650,9.2,68,1200
651,9.0,20,446
652,9.0,24,1107
653,9.3,33,341
654,8.5,68,485
655,8.3,68,753
656,8.6,56,700
657,7.5,10,1095
658,9.4,27,764
659,9.45,15,910
660,7.4,68,481
661,9.0,77,413
662,8.4,24,684
663,8.2,24,68
664,8.9,18,684
665,9.1,48,773
666,8.4,15,698
667,9.3,77,1201
668,8.5,15,861
669,10.0,77,1202
670,8.5,15,730
671,7.7,67,803
672,8.3,62,833
673,8.5,50,833
674,8.8,17,773
675,9.0,17,778
676,8.3,32,778
677,8.5,75,915
678,9.1,68,89
679,9.7,75,494
680,8.8,24,292
681,8.0,68,755
682,8.2,68,755
683,8.6,51,565
684,7.8,43,565
685,8.7,24,698
686,8.7,75,719
687,7.5,41,719
688,8.5,32,571
689,9.3,1,861
690,7.5,24,144
691,8.5,68,770
692,9.7,62,770
693,8.0,7,1114
694,9.2,52,524
695,7.5,68,755
696,7.5,7,144
697,8.9,7,1203
698,8.3,33,773
699,8.3,20,413
700,8.0,68,755
701,8.2,20,909
702,8.7,49,181
703,8.5,27,1127
704,8.0,24,470
705,8.89,20,144
706,7.5,1,909
707,8.0,18,719
708,8.2,24,1195
709,9.3,65,770
710,8.7,17,1095
711,7.8,10,188
712,8.5,57,1160
713,8.5,77,698
714,9.2,68,181
715,9.4,68,1127
716,9.0,20,504
717,8.2,33,409
718,9.7,17,504
719,9.3,68,494
720,8.3,68,669
721,8.2,75,909
722,9.5,68,1204
723,7.5,1,1205
724,7.0,1,1206
725,8.0,68,199
726,9.8,24,1207
727,7.9,56,767
728,8.5,10,767
729,8.5,68,758
730,8.5,52,767
731,8.5,1,494
732,8.0,68,1208
733,8.0,67,767
734,8.0,68,669
735,8.0,68,494
736,8.0,68,669
737,8.0,7,1114
738,9.1,75,756
739,9.0,68,911
740,9.6,77,833
741,9.4,68,833
742,9.7,20,833
743,9.3,68,833
744,8.8,32,833
745,9.4,41,833
746,8.0,62,1124
747,9.4,68,669
748,8.6,68,669
749,8.7,41,832
750,7.0,22,1209
751,8.5,75,832
752,9.0,22,1027
753,7.9,7,832
754,8.0,75,1207
755,9.75,17,753
756,9.9,67,494
757,8.6,24,494
758,8.2,57,494
759,8.4,9,494
760,9.6,68,719
761,7.6,17,754
762,8.0,33,767
763,8.0,68,656
764,8.1,62,767
765,8.0,68,23
766,8.0,22,504
767,8.6,62,875
768,8.5,18,719
769,8.5,68,23
770,9.2,57,719
771,9.3,68,23
772,9.2,9,418
773,8.5,27,476
774,9.5,17,1207
775,9.5,68,418
776,8.6,33,719
777,9.4,68,418
778,8.0,68,719
779,9.3,68,723
780,8.0,1,417
781,8.0,77,417
782,9.2,17,417
783,8.2,10,909
784,8.5,31,719
785,8.7,68,909
786,8.0,58,909
787,8.0,1,567
788,8.2,67,742
789,8.0,56,742
790,9.0,68,44
791,8.2,33,44
792,9.0,14,44
793,8.5,68,44
794,9.26,30,915
795,9.7,58,694
796,8.2,68,1195
797,9.8,33,472
798,9.0,74,1207
799,8.8,68,910
800,9.0,10,910
801,8.2,68,716
802,8.2,62,447
803,8.6,77,778
804,8.2,68,1210
805,8.0,30,1195
806,9.0,52,1211
807,9.1,31,414
808,8.0,17,656
809,6.8,6,811
810,8.0,6,1212
811,8.0,33,723
812,8.6,38,498
813,9.0,33,1213
814,8.0,68,833
815,7.8,24,833
816,8.0,24,765
817,8.4,68,643
818,7.6,24,494
819,8.0,20,415
820,9.5,50,910
821,8.0,10,415
822,8.23,67,915
823,7.5,75,753
824,8.0,24,1033
825,9.4,68,730
826,8.0,62,540
827,8.5,24,1102
828,8.0,68,658
829,9.2,6,698
830,8.0,62,658
831,8.0,24,914
832,7.8,24,791
833,9.7,17,166
834,9.7,24,1214
835,8.1,78,13
836,9.4,7,1127
837,8.7,61,698
838,9.0,17,698
839,8.5,75,698
840,9.3,6,698
841,8.8,18,698
842,8.5,18,698
843,9.1,27,698
844,8.0,27,698
845,8.5,58,698
846,9.0,18,1127
847,8.9,18,1127
848,8.7,15,351
849,8.7,67,767
850,8.5,68,1008
851,8.5,68,1156
852,8.5,75,384
853,8.5,24,757
854,7.4,61,504
855,8.0,68,719
856,8.8,24,669
857,9.5,17,669
858,9.4,24,488
859,8.5,16,909
860,8.8,68,1215
861,8.7,67,910
862,9.2,15,753
863,8.9,62,753
864,8.0,17,753
865,7.6,68,754
866,8.4,24,719
867,9.82,77,699
868,8.1,18,698
869,8.0,24,1215
870,9.6,68,413
871,8.5,68,1216
872,7.8,7,723
873,8.0,20,1214
874,9.8,33,770
875,7.5,78,519
876,8.0,18,243
877,8.0,18,243
878,9.3,62,1143
879,7.5,61,723
880,8.5,18,723
881,9.3,13,381
882,8.5,7,492
883,9.0,68,571
884,9.4,75,719
885,9.6,7,144
886,8.0,7,388
887,8.0,20,415
888,9.0,24,504
889,8.1,39,753
890,8.3,68,698
891,9.0,75,471
892,9.0,7,152
893,9.3,7,152
894,8.7,57,752
895,8.2,57,833
896,9.1,7,742
897,9.5,62,393
898,8.1,20,388
899,9.8,67,759
900,9.6,68,759
901,8.0,1,730
902,9.5,68,426
903,9.8,67,504
904,8.0,49,414
905,9.5,61,504
906,8.7,15,866
907,8.5,24,226
908,9.7,68,1217
909,9.5,20,716
910,9.6,7,716
911,8.5,17,716
912,9.8,10,716
913,9.2,77,716
914,8.5,68,669
915,8.7,68,1218
916,8.3,24,730
917,9.2,68,670
918,8.8,24,1219
919,8.0,7,730
920,8.1,57,730
921,9.0,68,670
922,8.5,68,755
923,8.8,67,909
924,9.7,24,1214
925,9.2,22,699
926,7.9,78,1220
927,9.3,18,915
928,8.7,62,740
929,9.3,68,915
930,9.0,68,758
931,7.9,1,915
932,7.8,24,915
933,7.7,32,915
934,9.2,20,915
935,9.0,7,915
936,8.5,7,915
937,8.6,10,144
938,9.0,7,439
939,8.0,24,756
940,8.5,31,1214
941,7.5,1,144
942,8.0,30,144
943,8.0,30,144
944,9.8,20,202
945,9.8,58,551
946,9.6,68,1221
947,8.5,24,355
948,9.7,75,721
949,9.6,68,721
950,9.4,68,409
951,9.5,17,947
952,9.9,33,329
953,9.8,50,1173
954,9.7,49,1222
955,7.5,58,684
956,8.5,31,1223
957,9.2,24,1034
958,8.4,77,1224
959,9.0,13,913
960,8.9,68,1225
961,9.1,1,753
962,9.5,15,2
963,9.7,1,1226
964,8.0,20,477
965,8.0,1,1227
966,8.0,78,915
967,8.0,1,1228
968,8.5,10,181
969,8.1,10,561
970,8.5,1,770
971,9.0,24,719
972,8.0,75,1106
973,9.37,77,911
974,8.6,78,914
975,7.9,33,1143
976,9.3,33,144
977,8.2,50,1137
978,7.0,18,144
979,7.7,7,438
980,7.9,56,144
981,8.5,20,637
982,8.2,75,85
983,9.3,50,85
984,9.44,68,915
985,9.0,20,770
986,9.1,24,770
987,9.8,52,770
988,8.5,18,399
989,9.1,68,759
990,9.0,78,1095
991,9.8,68,388
992,8.57,57,1196
993,8.7,75,767
994,8.5,68,767
995,8.3,17,915
996,9.0,24,754
997,7.0,62,882
998,7.6,68,716
999,7.5,20,729
1000,7.5,73,723
1001,8.2,75,230
1002,8.5,68,684
1003,7.9,77,698
1004,8.0,24,1042
1005,8.1,17,698
1006,8.3,77,698
1007,9.5,68,386
1008,8.45,68,670
1009,8.5,18,767
1010,8.8,62,767
1011,8.44,22,915
1012,9.4,68,292
1013,8.5,24,684
1014,8.9,20,910
1015,8.5,68,684
1016,8.0,1,513
1017,9.1,1,457
1018,9.7,68,833
1019,8.3,68,1229
1020,9.8,68,396
1021,8.8,1,564
1022,8.8,7,386
1023,8.5,7,386
1024,8.5,75,388
1025,8.5,52,517
1026,8.3,52,698
1027,9.1,75,730
1028,8.0,33,767
1029,8.0,33,767
1030,8.5,33,767
1031,8.0,75,1230
1032,7.5,68,380
1033,7.96,33,909
1034,8.5,72,466
1035,8.2,33,494
1036,9.5,68,494
1037,8.5,77,666
1038,8.8,68,1231
1039,8.7,68,669
1040,8.7,75,1127
1041,8.6,1,470
1042,8.3,68,669
1043,8.2,68,698
1044,8.0,33,915
1045,8.5,68,1156
1046,8.0,27,1032
1047,8.0,1,1032
1048,8.9,17,910
1049,9.0,33,753
1050,7.5,78,1032
1051,8.0,68,753
1052,8.9,18,915
1053,8.5,10,915
1054,7.0,67,188
1055,9.0,75,1143
1056,9.0,1,181
1057,8.8,20,773
1058,9.3,75,913
1059,8.0,24,504
1060,9.5,67,1232
1061,8.6,68,767
1062,7.8,33,564
1063,8.8,52,466
1064,8.5,1,1015
1065,8.9,7,910
1066,9.0,77,719
1067,9.7,68,721
1068,8.2,58,767
1069,8.7,68,1210
1070,7.2,27,723
1071,8.0,24,915
1072,8.4,68,719
1073,8.0,1,719
1074,9.0,75,698
1075,8.5,15,723
1076,9.3,20,841
1077,8.8,68,729
1078,7.9,18,388
1079,7.6,10,719
1080,8.0,75,1160
1081,8.0,18,684
1082,8.7,6,564
1083,8.3,24,388
1084,8.8,15,181
1085,8.8,75,716
1086,9.0,68,1225
