,ID_ESCUELA,NOMBRE_ESCUELA
3490,1252,INST. TECNICO DEL GOLFO DE MEXICO
3491,756,COBAEP PLANTEL 4
3492,719,NI¥OS HROES DE CHAPULTEPEC
3493,767,COBAEP PLANTEL 15
3494,721,PDTE. FRANCISCO I. MADERO
3495,773,COBAEP PLANTEL 21
3496,795,COBAEG PLANTEL 1
3497,226,HERMANOS SERDAN
3498,1400,JOSE VASCONCELOS
3499,586,CBTA PLANTEL NO. 131
3500,773,COBAEP PLANTEL 21
3501,1401,JOSE  VASCONCELOS
3502,915,LIC. BENITO JUµREZ GARCÖA
3503,571,BENEMRITO INSTITUTO NORMAL DEL ESTADO
3504,773,COBAEP PLANTEL 21
3505,719,NI¥OS HROES DE CHAPULTEPEC
3506,753,COBAEP PLANTEL 1
3507,498,INST. SALVADOR ALLENDE
3508,589,CBTA PLANTEL NO. 134
3509,1402,INST PROFESOR ENRIQUE CORDERO Y TORRES
3510,383,ACTIVO MXICO
3511,753,COBAEP PLANTEL 1
3512,957,UNIVERSIDAD AMERICANA DE ACAPULCO
3513,433,COLEGIO MARÖA DEL ROSARIO
3514,773,COBAEP PLANTEL 21
3515,913,ENRIQUE CABRERA BARROSO (URBANA)
3516,773,COBAEP PLANTEL 21
3517,234,IGNACIO ZARAGOZA
3518,977,COLEGIO TERESA MARTÖN
3519,1143,BINE
3520,857,CONALEP PLANTEL NO. 1
3521,767,COBAEP PLANTEL 15
3522,1403,COLEGIO TERESA MARTIN
3523,773,COBAEP PLANTEL 21
3524,778,COBAEP PLANTEL 26
3525,676,CBTIS PLANTEL NO. 16
3526,757,COBAEP PLANTEL 5
3527,773,COBAEP PLANTEL 21
3528,698,CBTIS PLANTEL NO. 3
3529,637,CECYTE PLANTEL MAGDALENA
3530,719,NI¥OS HROES DE CHAPULTEPEC
3531,1404,IUPAC
3532,757,COBAEP PLANTEL 5
3533,757,COBAEP PLANTEL 5
3534,699,CBTIS PLANTEL NO. 61
3535,842,COBAT PLANTEL 13
3536,699,CBTIS PLANTEL NO. 61
3537,1405,ISNTITUTO UNIVERSITARIO PUEBLA
3538,753,COBAEP PLANTEL 1
3539,391,BLAS CHUMACERO SµNCHEZ
3540,571,BENEMRITO INSTITUTO NORMAL DEL ESTADO
3541,504,INST. WASHINGTON A.C.
3542,498,INST. SALVADOR ALLENDE
3543,915,LIC. BENITO JUµREZ GARCÖA
3544,83,INST. SALVADOR ALLENDE
3545,913,ENRIQUE CABRERA BARROSO (URBANA)
3546,1143,BINE
3547,559,UNIVERSIDAD DEL VALLE DE PUEBLA
3548,753,COBAEP PLANTEL 1
3549,753,COBAEP PLANTEL 1
3550,571,BENEMRITO INSTITUTO NORMAL DEL ESTADO
3551,434,COLEGIO MEXICANO
3552,556,UNIVERSIDAD DE PUEBLA
3553,556,UNIVERSIDAD DE PUEBLA
3554,911,EMILIANO ZAPATA SALAZAR
3555,646,CECYTE PLANTEL 08
3556,556,UNIVERSIDAD DE PUEBLA
3557,778,COBAEP PLANTEL 26
3558,914,GRAL. LµZARO CµRDENAS DEL RÖO
3559,911,EMILIANO ZAPATA SALAZAR
3560,716,JOS MA. MORELOS Y PAVàN
3561,832,COBAT PLANTEL 01
3562,911,EMILIANO ZAPATA SALAZAR
3563,778,COBAEP PLANTEL 26
3564,1114,"PREP. DE OCCIDENTE DE PUEBLA, A.C."
3565,757,COBAEP PLANTEL 5
3566,85,INST. ZARAGOZA
3567,766,COBAEP PLANTEL 14
3568,139,JOS IGNACIO ROXAS
3569,729,PROF. ENRIQUE MARTINEZ MARQUEZ
3570,151,OCTAVIO PAZ LOZANO
3571,68,BACHILLERATO UPAEP
3572,773,COBAEP PLANTEL 21
3573,1007,AMRICA
3574,436,COLEGIO NACIONAL
3575,1406,INSTITUTO DOMINGO SAVIO
3576,1407,COLEGIO NACIONAL DEL VALLE DE CUAUTLA
3577,915,LIC. BENITO JUµREZ GARCÖA
3578,1072,INSTITUTO DOMINGO ARENAS
3579,742,CETIS PLANTEL NO. 104
3580,181,HERMANOS SERDAN
3581,188,HROES DE PUEBLA
3582,464,INST. ALIANZA A.C.
3583,753,COBAEP PLANTEL 1
3584,489,INST. MXICO DE PUEBLA A.C.
3585,753,COBAEP PLANTEL 1
3586,719,NI¥OS HROES DE CHAPULTEPEC
3587,1408,CENTRO ESCOLAR IGNACIO DE COMONFORT
3588,77,INST. DOMINGO ARENAS
3589,50,BACHILLERATO CRUZ AZUL
3590,753,COBAEP PLANTEL 1
3591,915,LIC. BENITO JUµREZ GARCÖA
3592,915,LIC. BENITO JUµREZ GARCÖA
3593,754,COBAEP PLANTEL 2
3594,667,CBTIS PLANTEL NO. 194
3595,768,COBAEP PLANTEL 16
3596,766,COBAEP PLANTEL 14
3597,773,COBAEP PLANTEL 21
3598,915,LIC. BENITO JUµREZ GARCÖA
3599,677,CBTIS PLANTEL NO. 184
3600,666,CBTIS PLANTEL NO. 166
3601,494,INST. ORIENTE DE PUEBLA A.C.
3602,226,HERMANOS SERDAN
3603,719,NI¥OS HROES DE CHAPULTEPEC
3604,684,CBTIS PLANTEL NO. 260
3605,745,CETIS PLANTEL NO. 67
3606,1220,ABIERTA
3607,770,COBAEP PLANTEL 18
3608,422,COLEGIO HOLISTICO DE MXICO
3609,909,2 DE OCTUBRE DE 1968
3610,1409,LITIO
3611,845,COBAT PLANTEL 18
3612,475,INST. DE CIENCIAS JURIDICAS
3613,742,CETIS PLANTEL NO. 104
3614,498,INST. SALVADOR ALLENDE
3615,754,COBAEP PLANTEL 2
3616,384,µNGEL MARÖA GARIBAY KINTANA
3617,909,2 DE OCTUBRE DE 1968
3618,915,LIC. BENITO JUµREZ GARCÖA
3619,909,2 DE OCTUBRE DE 1968
3620,832,COBAT PLANTEL 01
3621,1165,OFICIAL HEROES DE PUEBLA
3622,909,2 DE OCTUBRE DE 1968
3623,683,CBTIS PLANTEL NO. 257
3624,1214,OCTAVIO PAZ
3625,151,OCTAVIO PAZ LOZANO
3626,85,INST. ZARAGOZA
