,ID_ESTADO,NOMBRE_ESTADO,ID_PAIS
4904,21,PUEBLA,1
4905,21,PUEBLA,1
4906,21,PUEBLA,1
4907,29,TLAXCALA,1
4908,21,PUEBLA,1
4909,21,PUEBLA,1
4910,21,PUEBLA,1
4911,21,PUEBLA,1
4912,21,PUEBLA,1
4913,21,PUEBLA,1
4914,21,PUEBLA,1
4915,21,PUEBLA,1
4916,21,PUEBLA,1
4917,21,PUEBLA,1
4918,21,PUEBLA,1
4919,21,PUEBLA,1
4920,21,PUEBLA,1
4921,21,PUEBLA,1
4922,21,PUEBLA,1
4923,21,PUEBLA,1
4924,21,PUEBLA,1
4925,21,PUEBLA,1
4926,21,PUEBLA,1
4927,21,PUEBLA,1
4928,21,PUEBLA,1
4929,21,PUEBLA,1
4930,21,PUEBLA,1
4931,21,PUEBLA,1
4932,21,PUEBLA,1
4933,21,PUEBLA,1
4934,21,PUEBLA,1
4935,21,PUEBLA,1
4936,21,PUEBLA,1
4937,21,PUEBLA,1
4938,21,PUEBLA,1
4939,29,TLAXCALA,1
4940,21,PUEBLA,1
4941,21,PUEBLA,1
4942,21,PUEBLA,1
4943,21,PUEBLA,1
4944,21,PUEBLA,1
4945,21,PUEBLA,1
4946,21,PUEBLA,1
4947,21,PUEBLA,1
4948,21,PUEBLA,1
4949,21,PUEBLA,1
4950,21,PUEBLA,1
4951,21,PUEBLA,1
4952,29,TLAXCALA,1
4953,21,PUEBLA,1
4954,9,DISTRITO FEDERAL,1
4955,21,PUEBLA,1
4956,21,PUEBLA,1
4957,21,PUEBLA,1
4958,21,PUEBLA,1
4959,29,TLAXCALA,1
4960,21,PUEBLA,1
4961,21,PUEBLA,1
4962,21,PUEBLA,1
4963,21,PUEBLA,1
4964,21,PUEBLA,1
4965,21,PUEBLA,1
4966,29,TLAXCALA,1
4967,21,PUEBLA,1
4968,21,PUEBLA,1
4969,21,PUEBLA,1
4970,21,PUEBLA,1
4971,21,PUEBLA,1
4972,21,PUEBLA,1
4973,21,PUEBLA,1
4974,21,PUEBLA,1
4975,21,PUEBLA,1
4976,21,PUEBLA,1
4977,21,PUEBLA,1
4978,21,PUEBLA,1
